13,155,0,29,29,4805.8,0.460507703,タイトルの文字数,ブックマーク数,標本,タイトルの文字数（標本内平均）,ブックマーク数（標本内平均）
15,2,,,,,,,,,,
4,8,,,,,,,,,,
54,1,,,,,,,,,,
12,1,,,,,,,,,,
31,347,,,,,,,,,,
29,2,,,,,,,,,,
6,1,,,,,,,,,,
6,218,,,,,,,,,,
41,12,,,,,,,,,,
13,2,,,,,,,,,,
24,1,,,,,,,,,,
23,71,,,,,,,,,,
20,12,,,,,,,,,,
9,1,,,,,,,,,,
30,73,,,,,,,,,,
7,6,,,,,,,,,,
45,183,,,,,,,,,,
4,1,,,,,,,,,,
9,3,,,,,,,,,,
5,11,,,,,,,,,,
13,2,,,,,,,,,,
88,140,,,,,,,,,,
11,6,,,,,,,,,,
22,1,,,,,,,,,,
19,2,,,,,,,,,,
30,21,,,,,,,,,,
13,9,,,,,,,,,,
3,1,,,,,,,,,,
57,6,,,,,,,,,,
9,4,,,,,,,,,,
9,53,,,,,,,,,,
14,8,,,,,,,,,,
30,5,,,,,,,,,,
8,12,,,,,,,,,,
17,1,,,,,,,,,,
16,6,,,,,,,,,,
9,1,,,,,,,,,,
78,115,,,,,,,,,,
9,27,,,,,,,,,,
15,1,,,,,,,,,,
15,6,,,,,,,,,,
25,2,,,,,,,,,,
4,1,,,,,,,,,,
7,2,,,,,,,,,,
11,3,,,,,,,,,,
8,485,,,,,,,,,,
30,8,,,,,,,,,,
21,312,,,,,,,,,,
9,100,,,,,,,,,,
4,2,,,,,,,,,,
15,201,,,,,,,,,,
6,55,,,,,,,,,,
10,2,,,,,,,,,,
13,2,,,,,,,,,,
10,3,,,,,,,,,,
24,9,,,,,,,,,,
33,8,,,,,,,,,,
42,1,,,,,,,,,,
37,19,,,,,,,,,,
10,122,,,,,,,,,,
43,3,,,,,,,,,,
11,2,,,,,,,,,,
7,8,,,,,,,,,,
18,1,,,,,,,,,,
9,5,,,,,,,,,,
33,12956,,,,,,,,,,
31,2,,,,,,,,,,
37,405,,,,,,,,,,
17,12,,,,,,,,,,
32,2,,,,,,,,,,
57,148,,,,,,,,,,
26,18,,,,,,,,,,
33,25,,,,,,,,,,
29,291,,,,,,,,,,
23,1,,,,,,,,,,
19,66,,,,,,,,,,
3,3,,,,,,,,,,
33,620,,,,,,,,,,
31,4,,,,,,,,,,
5,95,,,,,,,,,,
6,11,,,,,,,,,,
7,1,,,,,,,,,,
20,83,,,,,,,,,,
14,115,,,,,,,,,,
23,2,,,,,,,,,,
9,1,,,,,,,,,,
3,3,,,,,,,,,,
22,2,,,,,,,,,,
28,2,,,,,,,,,,
28,712,,,,,,,,,,
5,1,,,,,,,,,,
6,1,,,,,,,,,,
38,1,,,,,,,,,,
38,14,,,,,,,,,,
11,26,,,,,,,,,,
8,1,,,,,,,,,,
28,11,,,,,,,,,,
47,2,,,,,,,,,,
8,4,,,,,,,,,,
11,1036,,,,,,,,,,
14,1,,,,,,,,,,
3,1,,,,,,,,,,
25,18,,,,,,,,,,
9,37,,,,,,,,,,
27,1,,,,,,,,,,
12,273,,,,,,,,,,
10,4,,,,,,,,,,
40,6,,,,,,,,,,
15,3,,,,,,,,,,
11,1,,,,,,,,,,
59,8,,,,,,,,,,
4,1831,,,,,,,,,,
25,363,,,,,,,,,,
13,1,,,,,,,,,,
15,3,,,,,,,,,,
9,55,,,,,,,,,,
30,8,,,,,,,,,,
7,3,,,,,,,,,,
8,16,,,,,,,,,,
3,24,,,,,,,,,,
11,1,,,,,,,,,,
23,1,,,,,,,,,,
4,24,,,,,,,,,,
33,3,,,,,,,,,,
33,62,,,,,,,,,,
78,12,,,,,,,,,,
39,607,,,,,,,,,,
88,12,,,,,,,,,,
11,4,,,,,,,,,,
35,4,,,,,,,,,,
11,7897,,,,,,,,,,
23,5,,,,,,,,,,
9,1,,,,,,,,,,
9,2,,,,,,,,,,
10,2,,,,,,,,,,
5,1,,,,,,,,,,
12,2,,,,,,,,,,
20,859,,,,,,,,,,
14,1,,,,,,,,,,
35,1213,,,,,,,,,,
16,9,,,,,,,,,,
29,82,,,,,,,,,,
20,191,,,,,,,,,,
13,29,,,,,,,,,,
22,472,,,,,,,,,,
18,1,,,,,,,,,,
40,1466,,,,,,,,,,
10,1,,,,,,,,,,
33,8,,,,,,,,,,
5,9,,,,,,,,,,
16,1,,,,,,,,,,
43,69,,,,,,,,,,
9,2,,,,,,,,,,
7,1,,,,,,,,,,
17,1,,,,,,,,,,
18,1,,,,,,,,,,
55,15,,,,,,,,,,
20,3,,,,,,,,,,
4,2,,,,,,,,,,
30,1651,,,,,,,,,,
34,3,,,,,,,,,,
9,18,,,,,,,,,,
23,15,,,,,,,,,,
57,22,,,,,,,,,,
15,17,,,,,,,,,,
19,2,,,,,,,,,,
14,20,,,,,,,,,,
99,14994,,,,,,,,,,
56,1270,,,,,,,,,,
14,5,,,,,,,,,,
6,1,,,,,,,,,,
16,15,,,,,,,,,,
39,13,,,,,,,,,,
45,540,,,,,,,,,,
12,4,,,,,,,,,,
5,1,,,,,,,,,,
50,20066,,,,,,,,,,
5,11,,,,,,,,,,
48,4,,,,,,,,,,
20,1,,,,,,,,,,
20,28,,,,,,,,,,
49,11,,,,,,,,,,
24,73,,,,,,,,,,
10,1,,,,,,,,,,
44,22,,,,,,,,,,
18,1,,,,,,,,,,
46,144,,,,,,,,,,
16,7,,,,,,,,,,
42,1,,,,,,,,,,
11,23,,,,,,,,,,
3,4,,,,,,,,,,
23,779,,,,,,,,,,
10,5,,,,,,,,,,
18,2,,,,,,,,,,
16,17,,,,,,,,,,
12,43,,,,,,,,,,
13,4,,,,,,,,,,
33,527,,,,,,,,,,
4,2,,,,,,,,,,
20,22,,,,,,,,,,
5,2076,,,,,,,,,,
29,3287,,,,,,,,,,
9,9,,,,,,,,,,
14,1,,,,,,,,,,
14,3,,,,,,,,,,
31,13,,,,,,,,,,
5,4,,,,,,,,,,
29,27,,,,,,,,,,
29,6,,,,,,,,,,
24,291,,,,,,,,,,
25,5,,,,,,,,,,
36,10,,,,,,,,,,
25,19,,,,,,,,,,
3,1,,,,,,,,,,
28,8,,,,,,,,,,
44,1982,,,,,,,,,,
9,1,,,,,,,,,,
21,4,,,,,,,,,,
15,1,,,,,,,,,,
21,4,,,,,,,,,,
30,27,,,,,,,,,,
42,11,,,,,,,,,,
12,1,,,,,,,,,,
12,2,,,,,,,,,,
25,363,,,,,,,,,,
50,380,,,,,,,,,,
26,151,,,,,,,,,,
14,1,,,,,,,,,,
14,6,,,,,,,,,,
39,9,,,,,,,,,,
10,19,,,,,,,,,,
32,5,,,,,,,,,,
44,3,,,,,,,,,,
29,640,,,,,,,,,,
26,1,,,,,,,,,,
25,3,,,,,,,,,,
16,39,,,,,,,,,,
16,1,,,,,,,,,,
5,1,,,,,,,,,,
22,2,,,,,,,,,,
9,4,,,,,,,,,,
17,1,,,,,,,,,,
26,75,,,,,,,,,,
7,6,,,,,,,,,,
6,1,,,,,,,,,,
42,6,,,,,,,,,,
35,744,,,,,,,,,,
18,5,,,,,,,,,,
2,1,,,,,,,,,,
4,7,,,,,,,,,,
44,10,,,,,,,,,,
8,2,,,,,,,,,,
13,256,,,,,,,,,,
32,170,,,,,,,,,,
21,8,,,,,,,,,,
18,50,,,,,,,,,,
81,61,,,,,,,,,,
4,3,,,,,,,,,,
7,1,,,,,,,,,,
13,1,,,,,,,,,,
23,1854,,,,,,,,,,
15,4,,,,,,,,,,
20,20,,,,,,,,,,
14,4,,,,,,,,,,
23,25,,,,,,,,,,
7,3,,,,,,,,,,
8,1,,,,,,,,,,
4,121,,,,,,,,,,
8,8,,,,,,,,,,
11,7,,,,,,,,,,
13,6,,,,,,,,,,
25,5,,,,,,,,,,
13,16,,,,,,,,,,
27,1,,,,,,,,,,
14,2,,,,,,,,,,
48,103,,,,,,,,,,
17,1,,,,,,,,,,
72,761,,,,,,,,,,
20,2,,,,,,,,,,
9,4,,,,,,,,,,
11,2,,,,,,,,,,
34,5,,,,,,,,,,
8,1,,,,,,,,,,
38,269,,,,,,,,,,
7,20,,,,,,,,,,
4,1,,,,,,,,,,
19,1,,,,,,,,,,
13,1,,,,,,,,,,
9,90,,,,,,,,,,
27,1,,,,,,,,,,
55,22,,,,,,,,,,
6,8,,,,,,,,,,
6,2,,,,,,,,,,
32,5,,,,,,,,,,
31,1,,,,,,,,,,
5,12,,,,,,,,,,
9,3,,,,,,,,,,
5,1,,,,,,,,,,
21,4,,,,,,,,,,
26,39,,,,,,,,,,
8,7,,,,,,,,,,
41,4,,,,,,,,,,
44,65,,,,,,,,,,
9,2,,,,,,,,,,
22,8,,,,,,,,,,
21,1,,,,,,,,,,
6,1,,,,,,,,,,
20,1640,,,,,,,,,,
6,5,,,,,,,,,,
14,1,,,,,,,,,,
11,20,,,,,,,,,,
11,2,,,,,,,,,,
28,2,,,,,,,,,,
4,314,,,,,,,,,,
42,5,,,,,,,,,,
12,10,,,,,,,,,,
9,1,,,,,,,,,,
14,19,,,,,,,,,,
16,4,,,,,,,,,,
6,4,,,,,,,,,,
12,1,,,,,,,,,,
38,17,,,,,,,,,,
25,51,,,,,,,,,,
20,2,,,,,,,,,,
45,88,,,,,,,,,,
38,61,,,,,,,,,,
18,1,,,,,,,,,,
27,501,,,,,,,,,,
44,2150,,,,,,,,,,
10,1623,,,,,,,,,,
6,4,,,,,,,,,,
13,33,,,,,,,,,,
27,110,,,,,,,,,,
46,11,,,,,,,,,,
34,1127,,,,,,,,,,
14,1,,,,,,,,,,
100,60,,,,,,,,,,
8,6,,,,,,,,,,
47,21551,,,,,,,,,,
6,3,,,,,,,,,,
35,214,,,,,,,,,,
10,4080,,,,,,,,,,
69,116,,,,,,,,,,
8,4,,,,,,,,,,
9,17,,,,,,,,,,
94,35,,,,,,,,,,
38,2,,,,,,,,,,
13,1,,,,,,,,,,
7,3,,,,,,,,,,
5,2,,,,,,,,,,
38,4,,,,,,,,,,
16,2,,,,,,,,,,
7,9,,,,,,,,,,
4,76,,,,,,,,,,
31,63,,,,,,,,,,
28,6,,,,,,,,,,
12,93,,,,,,,,,,
72,4,,,,,,,,,,
26,28,,,,,,,,,,
4,3,,,,,,,,,,
11,4,,,,,,,,,,
18,2,,,,,,,,,,
98,4,,,,,,,,,,
28,14,,,,,,,,,,
5,1,,,,,,,,,,
10,7,,,,,,,,,,
11,55,,,,,,,,,,
10,1,,,,,,,,,,
28,279,,,,,,,,,,
23,23,,,,,,,,,,
7,4,,,,,,,,,,
19,5,,,,,,,,,,
4,1,,,,,,,,,,
13,2,,,,,,,,,,
42,34,,,,,,,,,,
14,3,,,,,,,,,,
11,10,,,,,,,,,,
45,986,,,,,,,,,,
8,57,,,,,,,,,,
11,1,,,,,,,,,,
2,3,,,,,,,,,,
18,2,,,,,,,,,,
10,6,,,,,,,,,,
59,605,,,,,,,,,,
12,1,,,,,,,,,,
4,1,,,,,,,,,,
61,8,,,,,,,,,,
16,28,,,,,,,,,,
68,67,,,,,,,,,,
23,132,,,,,,,,,,
21,472,,,,,,,,,,
49,102,,,,,,,,,,
21,6,,,,,,,,,,
21,10,,,,,,,,,,
21,1,,,,,,,,,,
53,304,,,,,,,,,,
34,1,,,,,,,,,,
14,191,,,,,,,,,,
35,27,,,,,,,,,,
8,9,,,,,,,,,,
100,14,,,,,,,,,,
16,5,,,,,,,,,,
5,1,,,,,,,,,,
13,1,,,,,,,,,,
5,4,,,,,,,,,,
11,3,,,,,,,,,,
22,3,,,,,,,,,,
13,71,,,,,,,,,,
20,42,,,,,,,,,,
11,19,,,,,,,,,,
50,2,,,,,,,,,,
9,1,,,,,,,,,,
9,3,,,,,,,,,,
12,2,,,,,,,,,,
15,5,,,,,,,,,,
24,1609,,,,,,,,,,
26,8860,,,,,,,,,,
15,1,,,,,,,,,,
40,11,,,,,,,,,,
19,6,,,,,,,,,,
38,352,,,,,,,,,,
8,1,,,,,,,,,,
30,30,,,,,,,,,,
11,1,,,,,,,,,,
7,2,,,,,,,,,,
19,16,,,,,,,,,,
35,4927,,,,,,,,,,
51,11,,,,,,,,,,
10,1,,,,,,,,,,
15,33,,,,,,,,,,
6,30,,,,,,,,,,
22,1,,,,,,,,,,
21,6,,,,,,,,,,
25,295,,,,,,,,,,
79,18,,,,,,,,,,
7,2,,,,,,,,,,
35,932,,,,,,,,,,
23,547,,,,,,,,,,
3,13,,,,,,,,,,
12,113,,,,,,,,,,
60,2,,,,,,,,,,
30,2,,,,,,,,,,
17,51,,,,,,,,,,
32,5,,,,,,,,,,
6,1,,,,,,,,,,
34,1157,,,,,,,,,,
57,47,,,,,,,,,,
22,1,,,,,,,,,,
19,80,,,,,,,,,,
16,1,,,,,,,,,,
38,446,,,,,,,,,,
2,1,,,,,,,,,,
14,3,,,,,,,,,,
8,2,,,,,,,,,,
5,52,,,,,,,,,,
29,8,,,,,,,,,,
27,268,,,,,,,,,,
17,11,,,,,,,,,,
6,29,,,,,,,,,,
4,1,,,,,,,,,,
13,4,,,,,,,,,,
20,20,,,,,,,,,,
34,3,,,,,,,,,,
79,191,,,,,,,,,,
34,3,,,,,,,,,,
31,1,,,,,,,,,,
38,17,,,,,,,,,,
5,2,,,,,,,,,,
23,1,,,,,,,,,,
11,4,,,,,,,,,,
12,23,,,,,,,,,,
22,1,,,,,,,,,,
10,10,,,,,,,,,,
1,6,,,,,,,,,,
45,2107,,,,,,,,,,
24,35,,,,,,,,,,
18,81,,,,,,,,,,
12,4,,,,,,,,,,
7,2,,,,,,,,,,
28,20,,,,,,,,,,
18,8,,,,,,,,,,
5,7,,,,,,,,,,
21,1,,,,,,,,,,
3,8,,,,,,,,,,
18,1,,,,,,,,,,
33,9,,,,,,,,,,
53,21,,,,,,,,,,
11,1,,,,,,,,,,
50,238,,,,,,,,,,
15,30,,,,,,,,,,
5,2,,,,,,,,,,
12,3,,,,,,,,,,
7,1,,,,,,,,,,
30,20,,,,,,,,,,
7,11,,,,,,,,,,
6,4,,,,,,,,,,
18,2,,,,,,,,,,
11,19,,,,,,,,,,
13,38,,,,,,,,,,
17,12,,,,,,,,,,
8,1,,,,,,,,,,
22,161,,,,,,,,,,
30,4057,,,,,,,,,,
10,1,,,,,,,,,,
16,6,,,,,,,,,,
5,1,,,,,,,,,,
53,37,,,,,,,,,,
16,2,,,,,,,,,,
4,29,,,,,,,,,,
9,2420,,,,,,,,,,
16,9,,,,,,,,,,
14,3,,,,,,,,,,
10,2,,,,,,,,,,
15,1,,,,,,,,,,
12,13,,,,,,,,,,
48,132,,,,,,,,,,
30,9,,,,,,,,,,
21,190,,,,,,,,,,
40,6308,,,,,,,,,,
13,21,,,,,,,,,,
8,1,,,,,,,,,,
6,33,,,,,,,,,,
7,2,,,,,,,,,,
19,17,,,,,,,,,,
62,28,,,,,,,,,,
14,35,,,,,,,,,,
14,3,,,,,,,,,,
10,3,,,,,,,,,,
15,1,,,,,,,,,,
11,132,,,,,,,,,,
83,281,,,,,,,,,,
22,5,,,,,,,,,,
26,1,,,,,,,,,,
9,3,,,,,,,,,,
20,104,,,,,,,,,,
11,258,,,,,,,,,,
96,16,,,,,,,,,,
36,116,,,,,,,,,,
20,3,,,,,,,,,,
27,7,,,,,,,,,,
29,1,,,,,,,,,,
15,52,,,,,,,,,,
7,1,,,,,,,,,,
6,29,,,,,,,,,,
9,358,,,,,,,,,,
39,8,,,,,,,,,,
90,68,,,,,,,,,,
10,1,,,,,,,,,,
9,1,,,,,,,,,,
8,5,,,,,,,,,,
16,2,,,,,,,,,,
15,3,,,,,,,,,,
23,1,,,,,,,,,,
29,1,,,,,,,,,,
9,7,,,,,,,,,,
12,8,,,,,,,,,,
32,2,,,,,,,,,,
18,3,,,,,,,,,,
16,14,,,,,,,,,,
34,5,,,,,,,,,,
24,39,,,,,,,,,,
5,2,,,,,,,,,,
37,2,,,,,,,,,,
12,6,,,,,,,,,,
99,72,,,,,,,,,,
13,1,,,,,,,,,,
21,8,,,,,,,,,,
24,18,,,,,,,,,,
10,2,,,,,,,,,,
12,19,,,,,,,,,,
23,5,,,,,,,,,,
13,34,,,,,,,,,,
10,17,,,,,,,,,,
22,35,,,,,,,,,,
2,5,,,,,,,,,,
10,3,,,,,,,,,,
17,2,,,,,,,,,,
6,19,,,,,,,,,,
41,2,,,,,,,,,,
9,6,,,,,,,,,,
10,2,,,,,,,,,,
31,329,,,,,,,,,,
2,1,,,,,,,,,,
28,797,,,,,,,,,,
